#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T10:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T10:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T10:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T10:40:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T10:44:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T10:48:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T10:52:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T10:56:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:08:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:12:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:16:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:20:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:24:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:40:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:44:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:48:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:52:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T11:56:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
